Genome ID,Completeness,Phylum,Class,Order,Family,Genus,Species,FliF,FliG,FliI,FliR,FlhA,FlhB,FlgB,FlgC,FlgE,FlgK,FliE,FliP,FliQ,MotA,MotB,FliH,FliM,FliK,FlgD,FlgL,FliO,FliC,FliJ,FliL,FlgN,FlgF,FlgG,FliS,FliD,FliA,FlhF,PilZ/YcgR,FliT,FlgJ,FlgM,FlhG,FlgI,FlgH,FlgA,FlaG,FliW,MotE,CsrA,FlgR/FlrC/FlrA/FlaK/FlbD,SwrB/FlgW,SwrD,Flagellar_put/Putative,yvyF,YviE/DUF6470,FlaF,FliB,MotC,MotK,MotX ,MotY,PflA,PflB,FlcA,FlcB,FlcC,FlcD,FlbT,FlgP,FlgT,FliZ,tPilZ/FlgX,FlhC,FlhD,DUF327,FapA/DUF342,DUF1217,FlgO,FlaY,YdiV,FlhE,FlgQ,flk,Glucosaminidase,SwrA,FljA,SLT/Transglycosylase,FliN/FliY
GCF_000429865.1,100.0,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Cucumibacter,s__Cucumibacter marinus,WP_035871439.1,WP_029040377.1,WP_035871437.1,WP_029040874.1,WP_029040373.1,WP_029040873.1,WP_029040878.1,WP_035871822.1,WP_029040900.1,WP_029040899.1,WP_029040876.1,WP_035871823.1,WP_029040875.1,WP_029042549.1,WP_029042548.1,WP_029040376.1,WP_035871824.1,WP_035871441.1,WP_029040380.1,WP_029040898.1,WP_051332383.1,WP_029040894.1,WP_029040370.1,WP_051332396.1,WP_029040892.1,WP_029040884.1,WP_029040885.1,,,,,WP_051332394.1,,WP_081691439.1,,,WP_029040891.1,WP_029040887.1,WP_029040886.1,,,WP_029040881.1,,WP_029040374.1,,,,,,WP_029040897.1,,,WP_029040880.1,,,,,,,,,WP_029040896.1,,,,,,,,,,,,,,,,,,,,"WP_029039816.1,WP_155889321.1"
GCF_900102695.1,99.4,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Afifellaceae,g__Afifella,s__Afifella marina,WP_092810369.1,WP_092810341.1,WP_092810327.1,WP_092810309.1,WP_092810311.1,WP_092810343.1,WP_092810347.1,WP_092810349.1,WP_092810325.1,WP_092810323.1,WP_244514459.1,WP_092810363.1,WP_092810313.1,WP_092810334.1,WP_092810373.1,WP_210183562.1,WP_092810336.1,WP_139163693.1,WP_092810315.1,WP_092810321.1,,WP_244514497.1,"WP_092810307.1,WP_092815815.1","WP_092810301.1,WP_092810361.1",WP_092810303.1,WP_092810330.1,WP_092810351.1,,,,,"WP_092811119.1,WP_092816228.1",,WP_092810305.1,,,WP_092810355.1,WP_092810359.1,WP_092810353.1,,,WP_092810357.1,,,,,,,,WP_092810319.1,,WP_139163692.1,,,,,,,,,,WP_244514458.1,,,,,,,,,WP_092810332.1,,,,,,,,,,WP_244514498.1,WP_092810338.1
GCF_000375585.1,99.59,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium meliloti_A,WP_018094210.1,WP_018094216.1,WP_018094222.1,WP_018094247.1,WP_018094246.1,WP_018094215.1,WP_003529904.1,WP_018094224.1,WP_018094241.1,WP_018094242.1,WP_018094225.1,WP_018094231.1,WP_018094245.1,WP_018094219.1,WP_018094236.1,WP_018094235.1,WP_018094218.1,WP_018094238.1,WP_018094244.1,WP_018094243.1,,"WP_018094232.1,WP_018094233.1,WP_018094234.1,WP_018099747.1",,WP_018094230.1,,WP_018094221.1,WP_018094226.1,,,,,"WP_018095068.1,WP_018097840.1,WP_018098243.1",,WP_018094248.1,,,WP_018094228.1,WP_003529888.1,WP_018094227.1,,,WP_018094229.1,,,,,,,,WP_003529863.1,,WP_018094237.1,,,,,,,,,,WP_003529861.1,,,,,,,,,WP_026168531.1,,,,,,,,,,WP_033047239.1,WP_018094217.1
GCF_001541315.1,100.0,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,s__Agrobacterium tumefaciens,WP_003503464.1,WP_003503398.1,WP_060722895.1,WP_003503350.1,WP_003503351.1,WP_003503396.1,WP_003503414.1,WP_003503422.1,WP_060722902.1,WP_060722903.1,WP_003503424.1,WP_003493833.1,WP_003503352.1,WP_003503407.1,WP_060722899.1,WP_060722898.1,WP_060722897.1,WP_060722900.1,WP_003503359.1,WP_020010439.1,,"WP_003503391.1,WP_003503439.1,WP_003503440.1,WP_003503441.1",WP_003491821.1,"WP_003503346.1,WP_020811291.1",,WP_003503411.1,WP_003503427.1,,,,,WP_003508056.1,,WP_003503348.1,,,WP_003503431.1,WP_003503434.1,WP_020811270.1,,,WP_003503433.1,,,,,,,,WP_003503365.1,,WP_003503386.1,,,,,,,,,,WP_003503362.1,,,,,,,,,WP_060722896.1,,,,,,,,,,WP_060722901.1,WP_003503403.1
GCF_005160265.1,99.68,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Phreatobacteraceae,g__Phreatobacter,s__Phreatobacter sp005160265,WP_137101880.1,WP_137097737.1,WP_137101666.1,WP_137101389.1,WP_137097738.1,"WP_137097742.1,WP_137101388.1",WP_137101392.1,WP_137102228.1,"WP_137098918.1,WP_137101417.1","WP_137098920.1,WP_137101416.1",WP_137101391.1,WP_137101394.1,WP_137101390.1,WP_137100632.1,WP_137100631.1,WP_168201514.1,WP_137101398.1,"WP_137097741.1,WP_137097993.1","WP_137097992.1,WP_137098917.1","WP_137098921.1,WP_137101415.1",WP_137101393.1,"WP_137098913.1,WP_137101409.1,WP_137101412.1,WP_137101410.1",WP_137101665.1,WP_137101399.1,WP_137102003.1,WP_137101400.1,WP_137101401.1,WP_137098915.1,WP_137098914.1,,,"WP_137100361.1,WP_137101266.1",,WP_137101406.1,,,WP_137101405.1,WP_137102229.1,WP_168201775.1,WP_137101408.1,,WP_137101396.1,,WP_137097735.1,,,,,,WP_137101414.1,,,WP_137101395.1,,,,,,,,,WP_137101413.1,,,,,,,,,,,,,,,,,,,,"WP_137100385.1,WP_168201513.1"
GCF_003058325.1,100.0,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium,s__Methylobacterium currus,"WP_099951567.1,WP_099957212.1","WP_099951560.1,WP_099957211.1","WP_099955714.1,WP_099957555.1","WP_099953984.1,WP_232387113.1","WP_099955708.1,WP_232388676.1",no_hits,"WP_091890657.1,WP_099953988.1,WP_099957696.1,WP_232387535.1","WP_099953987.1,WP_099954999.1","WP_099954290.1,WP_099955713.1","WP_099954291.1,WP_099955712.1","WP_099953986.1,WP_099954998.1","WP_099953989.1,WP_232387534.1","WP_048437058.1,WP_099953985.1","WP_099951556.1,WP_099953995.1","WP_099951566.1,WP_099953996.1","WP_099957210.1,WP_244936463.1","WP_099951557.1,WP_099954310.1","WP_099951564.1,WP_210207092.1","WP_099955709.1,WP_099957213.1","WP_099954292.1,WP_244936339.1",WP_099956613.1,"WP_099951553.1,WP_099951555.1,WP_232388589.1,WP_244936589.1,WP_099953573.1,WP_099953574.1,WP_099957517.1,WP_099957518.1,WP_099957678.1,WP_099957679.1","WP_048431487.1,WP_099955707.1","WP_099954308.1,WP_099954992.1",WP_099956812.1,"WP_099954307.1,WP_099955715.1","WP_099954306.1,WP_099954997.1",,,,,"WP_099951828.1,WP_099954214.1,WP_099955717.1,WP_099956432.1,WP_232389023.1",,"WP_099954300.1,WP_099955706.1",,,"WP_099954301.1,WP_099954995.1","WP_099954304.1,WP_244936627.1","WP_099954305.1,WP_232388553.1",,,"WP_099954994.1,WP_244936176.1",,WP_099957208.1,,,,,,"WP_099955711.1,WP_099957301.1",,WP_099951565.1,WP_099954312.1,,,,,,,,,"WP_099953575.1,WP_244936337.1,WP_244936713.1",,,,,,,,,WP_099955716.1,,,,,,,,,,WP_232386667.1,"WP_099951559.1,WP_099956777.1,WP_099957209.1"
GCF_000284375.1,100.0,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__Bradyrhizobium japonicum,"WP_014492544.1,WP_014492671.1","WP_014492543.1,WP_014492656.1","WP_014492649.1,WP_014497690.1","WP_014492685.1,WP_014494022.1","WP_014492684.1,WP_014497684.1",WP_014494527.1,"WP_014492658.1,WP_014494019.1","WP_014492659.1,WP_014494020.1,WP_028169604.1","WP_014492677.1,WP_014493981.1","WP_014492678.1,WP_014493982.1","WP_008142413.1,WP_014492660.1","WP_014492667.1,WP_028170577.1","WP_014492683.1,WP_014494021.1","WP_014492652.1,WP_014496127.1","WP_014492673.1,WP_014496126.1",WP_014492542.1,"WP_014492653.1,WP_014494007.1","WP_014492675.1,WP_028169910.1,WP_080593847.1","WP_014492545.1,WP_014492682.1","WP_014492679.1,WP_014493983.1",WP_014494018.1,"WP_014492668.1,WP_014492669.1,WP_014492670.1,WP_014493989.1,WP_014493990.1",WP_008138882.1,"WP_014492666.1,WP_014494006.1","WP_014493993.1,WP_028170619.1","WP_014492650.1,WP_014494005.1","WP_014492661.1,WP_014494004.1",,,,,"WP_014495487.1,WP_027534981.1,WP_028154094.1",,"WP_014493994.1,WP_028170618.1",,,"WP_014492663.1,WP_028170572.1","WP_014492665.1,WP_014494002.1","WP_014492662.1,WP_014494003.1",WP_014493992.1,,"WP_014492664.1,WP_014494009.1",,WP_014492540.1,,,,,,"WP_014492680.1,WP_014493991.1",,WP_014492674.1,WP_014494015.1,,,,,,,,,"WP_014493988.1,WP_028170616.1",,,,,,,,,WP_014492651.1,,,,,,,,,,WP_014492676.1,"WP_014492541.1,WP_014492655.1,WP_015685538.1"
GCF_000168975.1,99.89,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Roseibium,s__Roseibium aggregatum,"WP_006934631.1,WP_006940092.1","WP_006940082.1,WP_157139817.1","WP_006934589.1,WP_229597939.1","WP_006932647.1,WP_006934609.1","WP_006940076.1,WP_040439904.1",WP_006931319.1,"WP_006932654.1,WP_006934660.1","WP_006932653.1,WP_006934658.1","WP_006932705.1,WP_006934625.1","WP_006932704.1,WP_040439907.1","WP_006932651.1,WP_006934656.1","WP_006934633.1,WP_050789324.1","WP_006932649.1,WP_006934616.1","WP_006932237.1,WP_006934595.1","WP_006932238.1,WP_006934629.1",WP_208984119.1,"WP_006934597.1,WP_229597946.1","WP_006931318.1,WP_006934627.1,WP_006940097.1","WP_006934617.1,WP_006940096.1","WP_006932703.1,WP_006934622.1",WP_081455190.1,"WP_006932690.1,WP_006932691.1,WP_006932692.1,WP_040439908.1",WP_006932052.1,"WP_006932674.1,WP_006934605.1,WP_006934634.1",,"WP_006934591.1,WP_040439309.1","WP_006932676.1,WP_006934654.1",,,,,"WP_006931139.1,WP_006931815.1,WP_006934664.1,WP_040440541.1",,"WP_006934607.1,WP_157139686.1",,,"WP_006934650.1,WP_040439390.1","WP_006932678.1,WP_040439910.1","WP_006934652.1,WP_040439310.1",WP_006932689.1,,"WP_006932662.1,WP_050789368.1",,WP_006940078.1,,,,,,"WP_006934621.1,WP_081455191.1",,WP_006934628.1,WP_208983900.1,,,,,,,,,"WP_006932693.1,WP_006934619.1",,,,,,,,,WP_006934592.1,,,,,,,,,,WP_081455229.1,"WP_006934599.1,WP_006936349.1,WP_006940080.1"
GCF_900215505.1,99.2,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Cohaesibacteraceae,g__Cohaesibacter,s__Cohaesibacter sp900215505,"WP_096172753.1,WP_096173676.1","WP_096172751.1,WP_096173692.1","WP_096172742.1,WP_096173684.1","WP_096173679.1,WP_096175988.1","WP_096172746.1,WP_096173680.1",no_hits,"WP_096173698.1,WP_244574671.1","WP_096173699.1,WP_096175991.1","WP_096173327.1,WP_096173670.1,WP_096176020.1","WP_096173324.1,WP_096173669.1,WP_096176019.1","WP_096173700.1,WP_244574670.1","WP_096176585.1,WP_172891513.1","WP_096173664.1,WP_096175989.1","WP_096172519.1,WP_096173688.1","WP_096172517.1,WP_096173674.1",WP_096172750.1,"WP_096173689.1,WP_096175996.1","WP_096173672.1,WP_157747547.1","WP_096172757.1,WP_096173328.1,WP_096173665.1","WP_096173668.1,WP_096176018.1,WP_157747602.1",WP_096175992.1,"WP_096173332.1,WP_096173677.1,WP_197704001.1,WP_096176009.1,WP_172891569.1",WP_096172743.1,"WP_096175997.1,WP_157747658.1","WP_096173325.1,WP_096173326.1,WP_096176005.1","WP_096173686.1,WP_096175998.1","WP_096173701.1,WP_096175999.1",WP_096173330.1,WP_096173331.1,,,WP_096175929.1,,"WP_096173683.1,WP_096176004.1",,,"WP_172891568.1,WP_197704055.1","WP_096173696.1,WP_096176001.1","WP_096173702.1,WP_096176000.1",,,"WP_096175994.1,WP_157747657.1",,WP_096172747.1,,,,,,"WP_096173667.1,WP_096176011.1",,,,,,,,,,,,"WP_096173666.1,WP_096176010.1",,,,,,,,,WP_096173687.1,,,,,,,,,,WP_197703836.1,"WP_096172748.1,WP_096173691.1,WP_096175709.1"
GCF_000689395.1,96.23,p__Pseudomonadota,c__Alphaproteobacteria,o__Parvibaculales,f__CGMCC-115125,g__Pyruvatibacter,s__Pyruvatibacter ectocarpi,WP_244442892.1,WP_244442893.1,WP_043949697.1,WP_043949434.1,WP_043949693.1,WP_043949433.1,WP_043949436.1,WP_171815941.1,WP_043949458.1,WP_043949457.1,WP_052535011.1,WP_052535627.1,WP_043950888.1,"WP_043949181.1,WP_043949691.1","WP_043949182.1,WP_043949439.1",WP_043949689.1,WP_197538293.1,WP_052535131.1,WP_052535132.1,WP_043949456.1,WP_052535014.1,"WP_043949452.1,WP_052535021.1,WP_043949644.1",WP_043949696.1,WP_043949442.1,WP_145973447.1,WP_043949443.1,WP_043949444.1,,,,WP_043949694.1,WP_043949361.1,,WP_052535019.1,,WP_043949695.1,WP_244442983.1,WP_043949446.1,WP_043949445.1,WP_171815942.1,,WP_122381359.1,,WP_043949692.1,,,,,,WP_043949455.1,,,WP_043949438.1,,,,,,,,,WP_043949454.1,,,,,,,,,,,,,,,,,,,,"WP_043949256.1,WP_043949690.1"
GCF_006385175.1,99.07,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Emcibacteraceae,g__Emcibacter,s__Emcibacter nanhaiensis,WP_181163098.1,WP_139939972.1,WP_139939952.1,WP_181163011.1,WP_139939964.1,"WP_139938101.1,WP_139938106.1",WP_139938102.1,"WP_139937845.1,WP_139938103.1",WP_139939978.1,WP_139939984.1,WP_139938610.1,WP_139938099.1,WP_139938104.1,"WP_139937954.1,WP_139940077.1","WP_139937949.1,WP_139938097.1",WP_139939970.1,WP_139938092.1,WP_139939982.1,WP_139939980.1,WP_139939986.1,WP_139938100.1,"WP_139938068.1,WP_139938081.1",WP_139939954.1,"WP_139937967.1,WP_139938091.1,WP_139938984.1",WP_139938082.1,WP_139938090.1,WP_139938089.1,,,,WP_139939962.1,WP_139941859.1,,WP_139938083.1,,WP_139939960.1,WP_139938084.1,WP_139938087.1,WP_139938088.1,WP_139938069.1,,WP_181163010.1,,WP_139939966.1,,,,,,WP_139938067.1,,,WP_139938098.1,,,,,,,,,WP_139938066.1,,,,,,,,,,,WP_181163058.1,,,,,,,,,"WP_139939968.1,WP_139940167.1"
GCF_000445125.1,99.48,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium lindaniclasticum,"WP_021233261.1,WP_052018334.1","WP_031341717.1,WP_081673909.1","WP_021233057.1,WP_021233257.1","WP_021233030.1,WP_021233249.1","WP_021233015.1,WP_052018350.1",no_hits,"WP_021233281.1,WP_031341612.1","WP_021233033.1,WP_031341728.1","WP_021233059.1,WP_021233278.1","WP_021233272.1,WP_031341622.1","WP_021233032.1,WP_021233262.1","WP_021233036.1,WP_031341712.1","WP_021233031.1,WP_021233250.1","WP_021233049.1,WP_021233270.1,WP_021233282.1",WP_021233039.1,"WP_031341715.1,WP_235054309.1","WP_021233067.1,WP_021233254.1",WP_160172095.1,"WP_021233013.1,WP_021233279.1","WP_021233061.1,WP_021233271.1","WP_021233035.1,WP_021233252.1","WP_021233166.1,WP_021233264.1","WP_021233056.1,WP_021233256.1","WP_021233255.1,WP_031341616.1,WP_031341627.1,WP_052018335.1","WP_021233026.1,WP_021233286.1","WP_021233069.1,WP_021233277.1","WP_021233070.1,WP_021233276.1",WP_031341711.1,WP_021233247.1,WP_021233289.1,,"WP_021232326.1,WP_081673911.1",,"WP_021233027.1,WP_031341723.1",WP_021233285.1,,"WP_021233028.1,WP_021233274.1","WP_021233167.1,WP_031341726.1","WP_021233168.1,WP_021233284.1",,,WP_021233065.1,,WP_021233263.1,,,,,,WP_021233050.1,,,WP_021233062.1,,,,,,,,,WP_021233058.1,,,,,,,,,,,WP_031341611.1,,,,,,,,WP_031341732.1,"WP_021233034.1,WP_021233253.1,WP_031341608.1"
GCF_003431825.1,99.54,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Blastomonas,s__Blastomonas fulva,WP_054135655.1,WP_083231461.1,WP_117351537.1,WP_054135645.1,WP_117351544.1,WP_054135644.1,WP_054135667.1,WP_054135668.1,WP_054135670.1,WP_069050912.1,WP_054135656.1,WP_117353346.1,WP_054135646.1,WP_054135677.1,WP_069050913.1,WP_162892445.1,WP_054135649.1,WP_117351535.1,WP_117351553.1,WP_117351554.1,WP_069050900.1,WP_117351543.1,WP_054135652.1,WP_054135650.1,,WP_054135671.1,WP_054135672.1,WP_054135642.1,WP_054135643.1,WP_054135659.1,,"WP_082382182.1,WP_082382457.1",,WP_117353348.1,WP_082382379.1,,WP_054135674.1,WP_117353347.1,WP_117351547.1,,,,,WP_117351541.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_054135648.1
GCF_900172325.1,99.57,p__Pseudomonadota,c__Alphaproteobacteria,o__Sneathiellales,f__Sneathiellaceae,g__Oceanibacterium,s__Oceanibacterium hippocampi,WP_085884574.1,WP_085884575.1,WP_085884585.1,WP_085885541.1,WP_085884580.1,"WP_085885542.1,WP_176245191.1",WP_085885537.1,"WP_085882273.1,WP_085885538.1",WP_085884572.1,WP_085884569.1,WP_085885539.1,WP_139839833.1,WP_085885540.1,"WP_085883107.1,WP_085884578.1","WP_085883106.1,WP_085885624.1,WP_085885625.1",WP_085884576.1,WP_085885628.1,WP_085884570.1,WP_085884571.1,WP_085884568.1,WP_085885534.1,"WP_085885638.1,WP_085885641.1,WP_176245197.1",WP_085884584.1,"WP_085883140.1,WP_085885629.1",WP_085885637.1,WP_176245196.1,WP_085885631.1,,,,WP_085884581.1,,,WP_139839850.1,,WP_085884582.1,WP_085885636.1,WP_085885633.1,WP_085885632.1,WP_085885640.1,,"WP_085884155.1,WP_085885626.1",,WP_085884579.1,,,,,,WP_085885642.1,,,,,,,,,,,,WP_085885721.1,,,,,,,,,,,,,,,,,,,,"WP_085882925.1,WP_139839788.1"
GCF_002924445.1,99.94,p__Pseudomonadota,c__Alphaproteobacteria,o__Minwuiales,f__Minwuiaceae,g__Minwuia,s__Minwuia thermotolerans,WP_206420064.1,WP_109795736.1,WP_109792291.1,WP_109793833.1,WP_109795741.1,WP_109793832.1,WP_109793836.1,WP_109793835.1,WP_109795734.1,WP_109793101.1,WP_206419865.1,WP_241147917.1,WP_109793834.1,"WP_109794107.1,WP_109795739.1","WP_109794106.1,WP_109794693.1",WP_109795737.1,WP_109794697.1,WP_125182839.1,WP_109795733.1,WP_109793102.1,WP_109793837.1,"WP_109794039.1,WP_109794040.1,WP_109796088.1",WP_109792292.1,"WP_109793392.1,WP_109794698.1",,WP_109794699.1,WP_109794700.1,,,,WP_109795742.1,,,WP_109794706.1,,WP_109795743.1,WP_109794705.1,WP_109794702.1,WP_109796402.1,WP_164516488.1,,WP_109794695.1,,WP_109795740.1,,,,,,WP_109793520.1,,,WP_109794692.1,,,,,,,,,WP_109793521.1,,,,,,,,,,,WP_109793391.1,,,,,,,,,"WP_109792863.1,WP_109795738.1"
GCF_002115755.1,100.0,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodospirillales_A,f__Thalassospiraceae,g__Thalassospira,s__Thalassospira mesophila,WP_085580732.1,WP_085583347.1,WP_085580705.1,WP_085580806.1,WP_085580723.1,"WP_085580794.1,WP_085580808.1",WP_085580798.1,WP_085580800.1,"WP_085580734.1,WP_085584526.1","WP_085580751.1,WP_085584530.1",WP_085580802.1,WP_245835242.1,WP_085580804.1,"WP_085579639.1,WP_085580726.1,WP_085581623.1,WP_085583180.1","WP_085580782.1,WP_085580784.1,WP_085581621.1,WP_085583182.1,WP_245835196.1",WP_085580730.1,WP_085580771.1,WP_085580738.1,"WP_085580736.1,WP_085584524.1","WP_085580749.1,WP_085584532.1",WP_085580790.1,"WP_085580745.1,WP_085584513.1",WP_085580707.1,WP_085580769.1,WP_085580753.1,WP_085580767.1,WP_085580765.1,"WP_085580740.1,WP_085584516.1","WP_085580741.1,WP_085584514.1",,WP_085580722.1,,WP_085580792.1,WP_085580755.1,,WP_085580720.1,WP_085581251.1,WP_085580761.1,WP_085580763.1,WP_085580743.1,"WP_085580747.1,WP_085584484.1",WP_085580777.1,WP_085580796.1,WP_085580725.1,,,,,,,,,WP_085580786.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WP_085580728.1,WP_085585776.1"
GCF_003385955.1,99.35,p__Pseudomonadota,c__Alphaproteobacteria,o__UBA8366,f__GCA-2696645,g__Aestuariispira,s__Aestuariispira insulae,WP_115935961.1,WP_115935960.1,WP_115934712.1,WP_115936009.1,WP_115935955.1,"WP_115936004.1,WP_115936010.1",WP_181905253.1,"WP_115936006.1,WP_115936447.1","WP_115934559.1,WP_115938772.1,WP_245957000.1","WP_115935985.1,WP_115938778.1",WP_115936007.1,WP_115936114.1,WP_115936008.1,"WP_115934546.1,WP_115935957.1,WP_115937085.1","WP_115934547.1,WP_115934548.1,WP_115935998.1,WP_115937086.1,WP_181905252.1",WP_115935959.1,WP_245957009.1,WP_115935964.1,"WP_115935963.1,WP_115938770.1",WP_181905250.1,WP_115936002.1,"WP_115938768.1,WP_115938766.1,WP_115935842.1,WP_115935970.1,WP_115935971.1,WP_181905473.1",WP_115934711.1,"WP_115934523.1,WP_115935994.1,WP_147300926.1","WP_115935986.1,WP_115938774.1,WP_115938776.1",WP_115935993.1,WP_115935992.1,WP_115938762.1,WP_115938764.1,,WP_115935954.1,WP_115937137.1,,WP_115935987.1,,WP_115935953.1,WP_245957007.1,WP_115935990.1,WP_181905251.1,WP_147300975.1,,WP_115935996.1,,"WP_115935956.1,WP_218044612.1",,,,,,WP_181905249.1,,,WP_115936000.1,,,,,,,,,WP_115935966.1,,,,,,,,,,,,,,,,,,,,"WP_115934980.1,WP_115935958.1"
GCF_000219355.1,98.9,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__Midichloriaceae,g__Midichloria,s__Midichloria mitochondrii,WP_013950927.1,WP_160162205.1,,WP_083809595.1,WP_013950805.1,WP_013950833.1,WP_160162158.1,WP_013950547.1,WP_013951503.1,WP_013951544.1,WP_013950546.1,WP_041185381.1,WP_041185367.1,WP_013951449.1,WP_013951448.1,WP_013950929.1,WP_013951236.1,WP_013951597.1,WP_013951596.1,WP_013951543.1,WP_041185382.1,WP_013951106.1,,WP_083809625.1,WP_013951545.1,WP_013950673.1,WP_013950674.1,,WP_148234155.1,,,,,WP_013951546.1,,,WP_013951547.1,WP_041185604.1,WP_160162167.1,,WP_083809658.1,WP_052567694.1,WP_013950835.1,,,,,,,,,,WP_013951180.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_013950930.1
GCF_002795805.1,99.58,p__Pseudomonadota,c__Zetaproteobacteria,o__Mariprofundales,f__Mariprofundaceae,g__Mariprofundus,s__Mariprofundus aestuarium,WP_100276580.1,WP_100276579.1,WP_100276577.1,WP_100276591.1,WP_100276593.1,"WP_100276592.1,WP_100276602.1",WP_100276583.1,WP_100276582.1,WP_100276560.1,WP_100276610.1,WP_100276581.1,WP_198507079.1,WP_100278608.1,"WP_100276561.1,WP_100276588.1","WP_100276562.1,WP_100276563.1,WP_232710264.1",WP_100276578.1,WP_100276565.1,WP_100276558.1,WP_232710257.1,WP_100276611.1,WP_157819183.1,"WP_198507145.1,WP_198507146.1",WP_100276576.1,WP_100276564.1,WP_100276609.1,WP_100276603.1,WP_100276604.1,"WP_100276617.1,WP_100276621.1",WP_198507083.1,WP_100276598.1,WP_100276595.1,WP_157819184.1,WP_100276616.1,WP_100276607.1,WP_100276608.1,WP_157819186.1,WP_232710265.1,WP_100276606.1,WP_157819187.1,"WP_100276619.1,WP_100276622.1",WP_100276613.1,WP_100276575.1,"WP_100276612.1,WP_100276614.1","WP_100276590.1,WP_232710263.1",WP_100276600.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_100276566.1
GCF_002109495.1,98.74,p__Pseudomonadota,c__Magnetococcia,o__Magnetococcales,f__Magnetococcaceae,g__Magnetofaba,s__Magnetofaba australis,WP_085442908.1,WP_085442909.1,WP_241893478.1,WP_085441271.1,WP_085444561.1,"WP_085441272.1,WP_085444567.1",WP_158089478.1,WP_085442904.1,WP_085447002.1,WP_158089324.1,WP_085442905.1,WP_241893522.1,WP_085441270.1,WP_085445334.1,"WP_085442467.1,WP_085445335.1,WP_085445336.1",WP_085442910.1,WP_085446998.1,"WP_085444566.1,WP_085447005.1",WP_085447003.1,WP_085441238.1,WP_143814992.1,"WP_085441240.1,WP_085442046.1,WP_085442047.1,WP_085442050.1,WP_085442051.1,WP_085442052.1,WP_085442054.1,WP_085442055.1,WP_085442056.1,WP_085442060.1,WP_085445356.1,WP_158089240.1,WP_085442053.1",WP_158089409.1,"WP_085447000.1,WP_158089471.1",WP_085444878.1,WP_085444871.1,WP_085444872.1,"WP_085441243.1,WP_085441244.1",WP_085441242.1,WP_085444564.1,WP_085444562.1,"WP_085445337.1,WP_085445338.1",WP_085441245.1,WP_085444876.1,WP_085444877.1,WP_085444563.1,WP_085444875.1,WP_085444874.1,WP_143814916.1,WP_198947804.1,WP_085441239.1,WP_085442061.1,WP_085444879.1,,WP_085444565.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_198947973.1
GCF_000260965.1,100.0,p__Pseudomonadota,c__Gammaproteobacteria,o__Nitrosococcales,f__Methylophagaceae,g__Methylophaga,s__Methylophaga frappieri,WP_014704900.1,WP_014704901.1,WP_014704903.1,WP_238532351.1,WP_151194724.1,"WP_014703830.1,WP_041366602.1",WP_014704879.1,WP_014704880.1,WP_014704882.1,WP_014704888.1,WP_014704899.1,WP_014703827.1,WP_014703828.1,"WP_014703839.1,WP_014705057.1","WP_014703840.1,WP_014705058.1",WP_014704902.1,WP_014703824.1,"WP_014703846.1,WP_014704911.1",WP_014704881.1,WP_014704889.1,WP_041366597.1,"WP_014704890.1,WP_014704891.1",WP_014704904.1,"WP_014703822.1,WP_014703823.1",WP_014704021.1,WP_014704883.1,WP_014704884.1,WP_041367162.1,WP_014704893.1,WP_202946520.1,WP_014703832.1,"WP_014703474.1,WP_014703602.1,WP_014703881.1",WP_014704895.1,WP_014704887.1,WP_014704022.1,WP_014703833.1,WP_014704886.1,WP_014704885.1,WP_014704023.1,WP_014704892.1,,,,"WP_014704896.1,WP_014704898.1",WP_014703843.1,,,,,,,,,,,,,,,,,,,,,,WP_000566753.1,WP_008843241.1,,,,,,,,,,,,,,WP_014703825.1
